"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"1166","Rosa spinosissima","0","0",71,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1167","Rosa villosa","0","0",17,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1168","Rubus caesius","0","0",45,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1169","Rubus fruticosus","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1170","Rubus gremlii","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1171","Rubus pruinosus","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1172","Rubus tomentosus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1173","Rubus ulmifolius","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1174","Rumex acetosa","0","0",83,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1175","Rumex acetosella","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1176","Rumex alpestris","0","0",37,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1177","Rumex alpinus","0","0",15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1178","Rumex crispus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1179","Rumex obtusifolius","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1180","Ruyschiana austriaca","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1181","Sagina procumbens","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1182","Salix alba","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1183","Salix aurita","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1184","Salix caprea","0","0",35,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1185","Salix cinerea","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1186","Salix daphnoides","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1187","Salix eleagnos","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1188","Salix foetida","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
