Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Helictotrichon adsurgens,Helictotrichon,,adsurgens,subsp.    ,ausserdorferi,End.,E-Alp.,139,32,1,2
Helictotrichon parlatorei,Helictotrichon,,parlatorei,,,End.,Alp.,139,32,3,
Helictotrichon petzense,Helictotrichon,,petzense,,,End.,E-Alp.,139,32,5,
Helictotrichon praeustum,Helictotrichon,,praeustum,subsp.    ,praeustum,End.,E-Alp.,139,32,10,1
Helictotrichon praeustum,Helictotrichon,,praeustum,subsp.    ,pseudoviolaceum,End.,E-Alp.,139,32,10,2
Helictotrichon sempervirens,Helictotrichon,,sempervirens,,,End.,W-Alp.,139,32,6,
Helictotrichon setaceum,Helictotrichon,,setaceum,,,End.,W-Alp.,139,32,4,
Helleborus niger,Helleborus,,niger,subsp.    ,macranthus,End.,E-Alp.,19,1,5,2
Hemerocallis lilio-asphodelus,Hemerocallis,,lilio-asphodelus,,,End.?,E-Alp.,143,7,1,
Heracleum austriacum,Heracleum,,austriacum,subsp.    ,austriacum,End.,E-Alp.,97,56,2,1
Heracleum austriacum,Heracleum,,austriacum,subsp.    ,siifolium,End.,E-Alp.,97,56,2,2
Heracleum pumilum,Heracleum,,pumilum,,,End.,W-Alp.,97,56,1,
Hesperis inodora,Hesperis,,inodora,,,End.,W-Alp.,54,12,5,
Hieracium angustifolium,Hieracium,,angustifolium,,,End.,Alp.,124,99,8,
Hieracium intybaceum,Hieracium,,intybaceum,,,Subend.,Alp.,124,99,32,
Holosteum umbellatum,Holosteum,,umbellatum,subsp.    ,hirsutum,End.,W-Alp.,38,7,1,2
Hugueninia tanacetifolia,Hugueninia,,tanacetifolia,,,End.,W-Alp.,54,4,1,
Hypochaeris facchiniana,Hypochaeris,,facchiniana,,,End.,E-Alp.,124,82,3,
Iberis aurosica,Iberis,,aurosica,,,End.,W-Alp.,54,52,4,
Iberis nana,Iberis,,nana,,,End.,W-Alp.,54,52,3,
Iris pallida,Iris,,pallida,subsp.    ,cengialti,End.,E-Alp.,145,3,10,2
